anio;mes;Buenos Aires;CABA;Catamarca;Chaco;Chubut;Córdoba;Corrientes;Entre Ríos;Formosa;Jujuy;La Pampa;La Rioja;Mendoza;Misiones;Neuquén;Río Negro;Salta;San Juan;San Luis;Santa Cruz;Santa Fe;Santiago del Estero;Tierra del Fuego;Tucumán;Total País
2018;Enero;38.371;16.181;1.111;3.383;2.424;12.059;2.894;3.285;1.260;1.905;1.404;971;4.415;2.210;2.691;2.060;3.257;1.332;1.416;1.158;10.144;1.697;1.068;4.092;120.788
2018;Febrero;21.371;10.483;655;1.692;1.553;6.626;1.664;1.804;714;1.050;784;549;2.828;1.047;1.702;1.200;1.816;844;916;653;5.813;915;722;2.395;69.796
2018;Marzo;26.506;12.778;714;2.021;1.869;8.319;1.877;2.212;898;1.203;1.057;644;3.397;1.337;1.944;1.503;2.355;969;1.086;823;7.204;1.120;853;2.860;85.549
2018;Abril;23.338;11.660;745;2.034;1.541;7.840;1.729;1.965;798;1.126;863;595;2.977;1.185;1.862;1.352;2.145;1.003;1.012;829;6.255;1.044;815;2.785;77.498
2018;Mayo;24.626;12.626;684;2.080;1.620;8.488;1.881;2.079;759;1.363;932;624;3.430;1.294;1.956;1.464;2.196;1.032;1.007;818;6.846;1.162;802;3.115;82.884
2018;Junio;18.947;10.095;590;1.577;1.311;6.821;1.408;1.430;615;1.028;702;476;2.535;1.016;1.560;1.178;1.689;798;872;676;5.259;886;561;2.419;64.449
2018;Julio;19.568;9.043;691;1.781;1.369;7.314;1.643;1.675;795;982;746;532;2.818;1.185;1.796;1.146;1.969;959;853;737;5.572;1.042;614;2.536;67.366
2018;Agosto;19.603;8.767;681;1.558;1.328;6.839;1.660;1.547;744;950;751;503;2.849;1.070;1.860;1.229;1.679;895;832;706;5.392;1.059;709;2.447;65.658
2018;Septiembre;15.459;7.994;451;1.175;1.185;5.426;1.220;1.215;577;812;616;399;2.134;909;1.588;976;1.380;751;633;593;4.298;760;494;1.852;52.897
2018;Octubre;14.102;7.718;500;997;1.080;5.022;1.074;1.135;517;744;508;312;1.910;718;1.467;914;1.325;708;561;612;3.870;776;489;1.718;48.777
2018;Noviembre;11.498;6.655;348;743;967;3.944;873;915;449;561;413;290;1.536;516;1.359;755;1.020;521;466;451;3.118;588;496;1.432;39.914
2018;Diciembre;8.531;5.112;231;537;687;2.835;614;557;317;391;276;184;1.100;416;852;540;861;313;302;302;1.969;380;341;897;28.545
2019;Enero;18.450;9.721;477;5.953;1.326;1.306;1.333;1.531;649;860;606;382;2.255;805;1.813;1.058;1.385;688;681;570;5.172;835;516;1.979;60.351
2019;Febrero;11.628;7.018;323;3.938;877;844;1.010;954;475;533;482;304;1.543;546;1.393;703;841;516;441;472;3.278;433;371;1.371;40.294
2019;Marzo;11.429;6.756;326;4.035;835;740;983;989;409;496;478;274;1.488;556;1.241;682;955;543;429;419;3.224;438;336;1.221;39.282
2019;Abril;10.827;6.618;309;3.703;772;711;915;898;359;542;411;244;1.487;499;1.218;694;821;520;453;374;3.193;373;315;1.241;37.497
2019;Mayo;10.610;6.546;305;3.685;713;695;1.085;840;324;500;450;223;1.451;490;1.122;622;905;464;402;369;3.327;459;330;1.042;36.959
2019;Junio;10.677;6.261;304;3.779;783;679;808;867;255;477;383;211;1.370;504;1.083;674;782;484;338;369;3.302;438;288;1.203;36.319
