Provincia / Mes;BUENOS AIRES;CABA;CATAMARCA;CORDOBA;CORRIENTES;CHACO;CHUBUT;ENTRE RIOS;FORMOSA;JUJUY;LA PAMPA;LA RIOJA;MENDOZA;MISIONES;NEUQUEN;RIO NEGRO;SALTA;SAN JUAN;SAN LUIS;SANTA CRUZ;SANTA FE;S. DEL ESTERO;TUCUMAN;T. DEL FUEGO
ene-18;5804239;1512568;100851;1532993;282891;245580;305939;521379;100446;175571;175353;95640;783924;276282;306348;298864;287083;229517;178102;185694;1341768;163164;362245;101336
feb-18;5839697;1515272;101486;1539285;284637;247158;307492;523556;101121;176651;176176;96270;786903;277526;308099;300473;288826;230593;179288;186249;1346912;164388;364807;101764
mar-18;5868256;1519960;102193;1547176;286627;249221;309308;526099;101982;177791;177294;96995;790491;279158;309967;302525;291121;231817;180720;186881;1353226;165811;367804;102249
abr-18;5893402;1524526;102945;1554582;288454;251160;310764;528250;102758;178885;178173;97638;793625;280494;311797;304375;293263;233096;182000;187630;1358575;167176;370645;102788
may-18;5920686;1529132;103643;1562590;290436;253074;312220;530611;103468;180263;179172;98372;797242;282051;313729;306451;295308;234413;183330;188387;1364677;168604;373890;103255
jun-18;5941406;1530145;104250;1568895;291875;254521;313379;532409;104043;181239;179909;98904;799987;283419;315255;308352;296939;235495;184641;188993;1368850;169827;376413;103399
jul-18;5962963;1532421;118378;1575540;293408;256009;314460;534377;104714;182101;180623;99444;803036;284869;316874;310038;298712;236722;185725;189554;1373307;171043;379032;103656
ago-18;5983710;1535016;118787;1581607;295005;257392;315641;536099;105382;182961;181345;99992;806000;286071;318498;311828;300230;237885;186819;190037;1377496;172206;381455;103914
sep-18;6001172;1536298;119035;1586302;296128;258426;316575;537495;105858;183645;181968;100411;808292;287098;319995;313325;301366;238894;187976;190514;1380449;173210;383318;104020
oct-18;6016745;1538203;119324;1590535;297220;259176;317462;538851;106238;184325;182443;100774;810193;287940;321383;314630;302459;239783;188847;191004;1383076;174108;385087;104085
nov-18;6029036;1539573;119498;1593920;298197;259755;318175;539883;106603;184864;182795;101053;811751;288530;322453;315790;303394;240488;189562;191294;1385013;174793;386466;104220
dic-18;6038714;1539809;119538;1596398;298854;260091;318677;540620;106852;185298;183065;101271;812863;289068;323238;316802;304182;240944;190061;191515;1385943;175300;387341;104198
ene-19;6059026;1542986;119837;1602271;300188;261269;319808;542370;107435;186161;183564;;;;;;;;;;;;;
feb-19;6073807;1529004;119460;1604480;301109;261621;319890;544000;107702;186771;183894;101711;815330;290026;325124;318413;305441;241879;190992;191906;1390074;176227;389339;104271
mar-19;6085199;1534804;119822;1608560;301983;262407;320905;545028;108144;187301;184397;102131;816928;291007;326827;320751;305759;243108;192464;191799;1389593;177106;390767;103196
abr-19;6095620;1543731;120254;1612625;302877;263233;321952;545854;108565;187900;184866;102432;818495;291602;328156;321503;306741;243681;192915;192247;1392904;177617;392069;103537
may-19;6107071;1543117;120378;1615645;303540;263825;322826;546939;108826;188400;185253;102667;819952;292037;329448;321982;307658;244132;193186;192744;1396733;177984;393384;104069
jun-19;6118602;1543388;120488;1618829;304292;264395;323417;547960;109006;188869;185702;102960;821531;292745;330670;323322;308426;244866;193919;192910;1398975;178612;394472;103958
jul-19;6135091;1545364;120645;1623177;305332;265210;324477;549487;109516;189563;186372;103215;822963;293583;331927;324440;309071;245573;194527;193083;1401442;179182;395722;103882
ago-19;6148642;1545277;120837;1627192;306137;265879;325293;550806;109902;190170;186889;103571;824887;294478;333511;325790;310104;246452;195308;193508;1404668;179879;397248;103975
sep-19;6160041;1545332;120968;1629999;306822;266324;325963;551950;110165;190653;187410;103932;826720;295387;335159;327230;310974;247331;196100;193822;1407564;180550;398600;104031
;;;;;;;;;;;;104194;828326;296109;336472;328278;311726;247949;196706;194109;1409804;181170;399705;103950
