anio;mes;ventas_concesionarios;prod_nacional;;;;;;
2018;Enero;64.452;21.858;;;;;;
2018;Febrero;73.733;39.085;;;;;;
2018;Marzo;79.562;49.655;;;;;;
2018;Abril;72.748;45.802;;;;;;
2018;Mayo;75.754;46.835;;;;;;
2018;Junio;55.358;39.420;;;;;;
2018;Julio;46.637;41.450;;;;;;
2018;Agosto;52.224;49.335;;;;;;
2018;Septiembre;42.628;37.267;;;;;;
2018;Octubre;37.207;38.659;;;;;;
2018;Noviembre;33.095;36.808;;;;;;
2018;Diciembre;48.418;20.475;;;;;;
2019;Enero;30.038;14.803;;;;;;
2019;Febrero;30.404;32.662;;;;;;
2019;Marzo;33.708;29.227;;;;;;
2019;Abril;28.469;30.294;;;;;;
2019;Mayo;27.947;30.280;;;;;;
2019;Junio;36.501;23.916;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
-;;;;;;;;;
