Rank, Descripción, 06/19, Part %, 06/18, Part %, 05/19, Part %, Var a-c, Var a-e, 01/19 a 06/19, Part %, 01/18 a 06/18, Part %, Var a c
1,Ford KA, 1.640, 6,1%, 2.255, 4,6%, 1.080, 4,3%, -27,3%, 51,9%, 9.436, 5,2%, 18.777, 4,9%, -49,8%
2, Toyota ETIOS, 1.489, 5,6%, 2.837, 5,8%,1.257, 5,0%, -47,5%, 18,5%, 8.436, 4,6%, 20.788, 5,4%, -59,4%
3, Chevrolet ONIX, 1.434, 5,3%, 2.267, 4,6%, 1.578, 6,2%, -36,7%, -9,1%, 8.848, 4,8%, 18.925, 5,0%, -53,3%
4, Peugeot 208, 1.074, 4,0%, 1.852, 3,8%, 930, 3,7%, -42,0%, 15,5%, 6.685, 3,7%, 14.609, 3,8%, -54,2%
5, Renault NUEVO SANDERO, 1.038, 3,9%, 1.522, 3,1%, 999, 3,9%, -31,8%, 3,9%, 6.986, 3,8%, 14.380, 3,8%, -51,4%
6, Volkswagen GOL, 1.022, 3,8%, 1.648, 3,4%, 1.077, 4,2%, -38,0%, -5,1%, 7.116, 3,9%, 16.422, 4,3%, -56,7%
7, Renault KWID, 961, 3,6%, 1.456, 3,0%, 919, 3,6%, -34,0%, 4,6%, 6.832, 3,7%, 12.556, 3,3%, -45,6%
8, Toyota YARIS, 913, 3,4%, 24, 0,1%, 735, 2,9%, 3704,2%, 24,2%, 4.821, 2,6%, 613, 0,2%, 686,5%
9, Ford ECOSPORT, 780, 2,9%, 1.258, 2,6%, 703, 2,8%, -38,0%, 11,0%, 5.797, 3,2%, 11.211, 2,9%, -48,3%
10, Chevrolet CRUZE, 736, 2,7%, 1.001, 2,0%, 430, 1,7%, -26,5%, 71,2%, 2.641, 1,5%, 8.958, 2,3%, -70,5%
11, Chevrolet PRISMA, 714, 2,7%, 2.939, 6,0%, 920, 3,6%, -75,7%, -22,4%, 5.683, 3,1%, 18.120, 4,7%, -68,6%
12, Toyota COROLLA, 713, 2,7%, 1.234, 2,5%, 488, 1,9%, -42,2%, 46,1%, 4.232, 2,3%, 8.961, 2,3%, -52,8%
