,provincia,Ene 2018,Feb 2018,Mar 2018,Abr 2018,May 2018,Jun 2018,Jul 2018,Ago 2018,Sep 2018,Oct 2018,Nov 2018,Dic 2018,Ene 2019,Feb 2019,Mar 2019,Abr 2019,May 2019,Jun 2019,Jul 2019,Ago 2019,Sep 2019,Oct 2019,Nov 2019,Dic 2019
0,BUENOS AIRES,5.804.239,5.839.697,5.868.256,5.893.402,5.920.686,5.941.406,5.962.963,5.983.710,6.001.172,6.016.745,6.029.036,6.038.714,6.059.026,6.073.807,6.085.199,6.095.620,6.107.071,6.118.602,6.135.091,6.148.642,6.160.041,6.171.036,0,0
1,CABA,1.512.568,1.515.272,1.519.960,1.524.526,1.529.132,1.530.145,1.532.421,1.535.016,1.536.298,1.538.203,1.539.573,1.539.809,1.542.986,1.529.004,1.534.804,1.543.731,1.543.117,1.543.388,1.545.364,1.545.277,1.545.332,1.544.318,0,0
2,CATAMARCA,100.851,101.486,102.193,102.945,103.643,104.250,118.378,118.787,119.035,119.324,119.498,119.538,119.837,119.460,119.822,120.254,120.378,120.488,120.645,120.837,120.968,121.080,0,0
3,CORDOBA,1.532.993,1.539.285,1.547.176,1.554.582,1.562.590,1.568.895,1.575.540,1.581.607,1.586.302,1.590.535,1.593.920,1.596.398,1.602.271,1.604.480,1.608.560,1.612.625,1.615.645,1.618.829,1.623.177,1.627.192,1.629.999,1.632.500,0,0
4,CORRIENTES,282.891,284.637,286.627,288.454,290.436,291.875,293.408,295.005,296.128,297.220,298.197,298.854,300.188,301.109,301.983,302.877,303.540,304.292,305.332,306.137,306.822,307.291,0,0
5,CHACO,245.580,247.158,249.221,251.160,253.074,254.521,256.009,257.392,258.426,259.176,259.755,260.091,261.269,261.621,262.407,263.233,263.825,264.395,265.210,265.879,266.324,266.804,0,0
6,CHUBUT,305.939,307.492,309.308,310.764,312.220,313.379,314.460,315.641,316.575,317.462,318.175,318.677,319.808,319.890,320.905,321.952,322.826,323.417,324.477,325.293,325.963,326.559,0,0
7,ENTRE RIOS,521.379,523.556,526.099,528.250,530.611,532.409,534.377,536.099,537.495,538.851,539.883,540.620,542.370,544.000,545.028,545.854,546.939,547.960,549.487,550.806,551.950,553.109,0,0
8,FORMOSA,100.446,101.121,101.982,102.758,103.468,104.043,104.714,105.382,105.858,106.238,106.603,106.852,107.435,107.702,108.144,108.565,108.826,109.006,109.516,109.902,110.165,110.377,0,0
9,JUJUY,175.571,176.651,177.791,178.885,180.263,181.239,182.101,182.961,183.645,184.325,184.864,185.298,186.161,186.771,187.301,187.900,188.400,188.869,189.563,190.170,190.653,191.060,0,0
10,LA PAMPA,175.353,176.176,177.294,178.173,179.172,179.909,180.623,181.345,181.968,182.443,182.795,183.065,183.564,183.894,184.397,184.866,185.253,185.702,186.372,186.889,187.410,187.708,0,0
11,LA RIOJA,95.640,96.270,96.995,97.638,98.372,98.904,99.444,99.992,100.411,100.774,101.053,101.271,101.711,102.131,102.432,102.667,102.960,103.215,103.571,103.932,104.194,104.483,0,0
12,MENDOZA,783.924,786.903,790.491,793.625,797.242,799.987,803.036,806.000,808.292,810.193,811.751,812.863,815.330,816.928,818.495,819.952,821.531,822.963,824.887,826.720,828.326,829.747,0,0
13,MISIONES,276.282,277.526,279.158,280.494,282.051,283.419,284.869,286.071,287.098,287.940,288.530,289.068,290.026,291.007,291.602,292.037,292.745,293.583,294.478,295.387,296.109,296.862,0,0
14,NEUQUEN,306.348,308.099,309.967,311.797,313.729,315.255,316.874,318.498,319.995,321.383,322.453,323.238,325.124,326.827,328.156,329.448,330.670,331.927,333.511,335.159,336.472,337.698,0,0
15,RIO NEGRO,298.864,300.473,302.525,304.375,306.451,308.352,310.038,311.828,313.325,314.630,315.790,316.802,318.413,320.751,321.503,321.982,323.322,324.440,325.790,327.230,328.278,329.305,0,0
16,SALTA,287.083,288.826,291.121,293.263,295.308,296.939,298.712,300.230,301.366,302.459,303.394,304.182,305.441,305.759,306.741,307.658,308.426,309.071,310.104,310.974,311.726,312.384,0,0
17,SAN JUAN,229.517,230.593,231.817,233.096,234.413,235.495,236.722,237.885,238.894,239.783,240.488,240.944,241.879,243.108,243.681,244.132,244.866,245.573,246.452,247.331,247.949,248.561,0,0
18,SAN LUIS,178.102,179.288,180.720,182.000,183.330,184.641,185.725,186.819,187.976,188.847,189.562,190.061,190.992,192.464,192.915,193.186,193.919,194.527,195.308,196.100,196.706,197.312,0,0
19,SANTA CRUZ,185.694,186.249,186.881,187.630,188.387,188.993,189.554,190.037,190.514,191.004,191.294,191.515,191.906,191.799,192.247,192.744,192.910,193.083,193.508,193.822,194.109,194.296,0,0
20,SANTA FE,1.341.768,1.346.912,1.353.226,1.358.575,1.364.677,1.368.850,1.373.307,1.377.496,1.380.449,1.383.076,1.385.013,1.385.943,1.390.074,1.389.593,1.392.904,1.396.733,1.398.975,1.401.442,1.404.668,1.407.564,1.409.804,1.411.421,0,0
21,S. DEL ESTERO,163.164,164.388,165.811,167.176,168.604,169.827,171.043,172.206,173.210,174.108,174.793,175.300,176.227,177.106,177.617,177.984,178.612,179.182,179.879,180.550,181.170,181.698,0,0
22,TUCUMAN,362.245,364.807,367.804,370.645,373.890,376.413,379.032,381.455,383.318,385.087,386.466,387.341,389.339,390.767,392.069,393.384,394.472,395.722,397.248,398.600,399.705,400.735,0,0
23,T. DEL FUEGO,101.336,101.764,102.249,102.788,103.255,103.399,103.656,103.914,104.020,104.085,104.220,104.198,104.271,103.196,103.537,104.069,103.958,103.882,103.975,104.031,103.950,103.852,0,0
24,TOTAL,15.367.777,15.444.629,15.524.672,15.597.001,15.675.004,15.732.545,15.807.006,15.865.376,15.911.770,15.953.891,15.987.106,16.010.642,16.065.648,16.083.174,16.122.449,16.163.453,16.193.186,16.223.558,16.267.613,16.304.424,16.334.125,16.360.196,0,0
